Row	Hour	Genotype	Condition	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
E	30	EMPTY	NONE	3.02E+04	3.61E+04	2.99E+04	2.46E+04	2.54E+04	2.78E+04	3.03E+04	3.42E+04	2.63E+04	2.11E+04	2.87E+04	1.65E+04
F	30	EMPTY	NONE	1.38E+04	1.95E+04	1.35E+04	1.25E+04	1.57E+04	1.55E+04	1.64E+04	1.52E+04	1.31E+04	9.36E+03	1.33E+04	1.10E+04
G	30	EMPTY	NONE	8.62E+03	1.01E+04	9.52E+03	1.05E+04	7.39E+03	5.58E+03	8.83E+03	8.72E+03	9.47E+03	4.93E+03	6.85E+03	7.32E+03
H	30	EMPTY	NONE	7.15E+03	3.34E+03	1.02E+03	1.21E+03	5.22E+02	3.44E+02	2.52E+03	3.03E+03	3.49E+03	2.84E+03	7.88E+03	1.84E+03
A	30	G130	AMP	1.30E+05	5.16E+06	6.07E+06	2.91E+05	3.12E+06	2.25E+06	8.94E+06	3.23E+06	4.01E+06	6.14E+06	1.52E+05	1.40E+05
B	30	G130	AMP	6.82E+06	5.79E+06	1.07E+06	4.01E+04	5.66E+06	1.21E+07	1.80E+05	2.93E+06	3.46E+04	8.66E+06	1.86E+05	8.98E+06
C	30	G130	AMP	2.25E+04	2.53E+05	1.34E+07	4.06E+04	5.47E+06	9.84E+06	1.07E+07	4.59E+04	3.14E+05	1.26E+07	3.17E+05	4.78E+06
D	30	G130	AMP	1.04E+06	6.17E+06	2.59E+05	1.01E+06	3.03E+04	4.25E+04	2.66E+06	1.02E+07	9.83E+05	6.05E+05	1.05E+05	2.49E+04
E	30	EMPTY	NONE	-3.27E+03	-2.51E+03	-2.72E+03	-2.19E+03	-2.45E+03	-2.15E+03	-2.24E+03	-1.46E+03	-2.36E+03	-2.52E+03	-4.28E+03	-3.40E+03
F	30	G090	STANDARD	-3.32E+03	7.65E+02	7.13E+03	-1.65E+03	4.47E+03	8.68E+03	9.49E+03	1.18E+04	5.77E+03	-2.20E+03	-1.19E+03	-6.44E+02
G	30	G090	STANDARD	-4.67E+03	1.23E+03	3.54E+03	2.56E+03	-5.56E+02	4.07E+03	3.66E+03	-1.47E+03	-1.58E+03	5.74E+02	-8.82E+02	5.67E+03
H	30	G090	STANDARD	-3.94E+02	-3.14E+03	2.33E+03	1.06E+04	-3.41E+03	-8.00E+02	1.43E+03	1.17E+04	1.25E+04	5.22E+04	3.97E+03	-7.07E+02
A	42	G130	STANDARD	-1.66E+05	1.44E+07	3.88E+06	2.70E+07	-3.73E+05	7.27E+05	8.46E+06	1.20E+06	3.55E+05	1.85E+07	-1.72E+05	-2.55E+05
B	42	G130	STANDARD	1.37E+07	4.25E+06	3.76E+06	-1.87E+05	3.94E+06	2.49E+07	-2.66E+05	1.17E+07	-1.53E+05	3.62E+04	-3.30E+05	-1.21E+05
C	42	G130	STANDARD	-2.51E+05	-3.69E+04	6.55E+05	-2.53E+05	5.53E+06	5.11E+07	8.85E+06	-2.00E+05	6.75E+06	-1.55E+05	1.60E+07	9.54E+06
D	42	G130	STANDARD	-3.45E+05	9.15E+06	2.72E+07	1.57E+07	-7.51E+04	-1.77E+05	8.19E+06	5.57E+06	2.57E+07	6.13E+06	3.90E+07	1.58E+05
E	42	EMPTY	NONE	-1.29E+05	-4.49E+04	7.05E+04	8.80E+04	-1.86E+05	1.80E+05	-1.46E+05	-6.22E+04	-1.31E+05	3.73E+05	-2.55E+04	4.01E+05
F	42	EMPTY	NONE	1.13E+05	-3.21E+04	-1.85E+04	-1.46E+05	-1.69E+04	1.44E+05	9.99E+04	-2.01E+05	-3.87E+04	-2.61E+05	-1.67E+05	-1.17E+05
G	42	EMPTY	NONE	-4.07E+04	-3.68E+04	-1.11E+05	-1.45E+05	1.93E+05	-5.12E+04	-2.62E+05	5.24E+04	-2.27E+05	1.57E+05	-1.81E+05	-3.61E+05
H	42	EMPTY	NONE	-1.80E+05	1.68E+05	-1.67E+05	1.22E+04	2.55E+05	-5.56E+03	7.25E+04	-1.95E+05	-4.15E+04	1.64E+05	5.27E+04	3.63E+04
A	42	G130	AMP	-1.66E+05	1.44E+07	3.88E+06	2.70E+07	-3.73E+05	7.27E+05	8.46E+06	1.20E+06	3.55E+05	1.85E+07	-1.72E+05	-2.55E+05
B	42	G130	AMP	1.37E+07	4.25E+06	3.76E+06	-1.87E+05	3.94E+06	2.49E+07	-2.66E+05	1.17E+07	-1.53E+05	3.62E+04	-3.30E+05	-1.21E+05
C	42	G130	AMP	-2.51E+05	-3.69E+04	6.55E+05	-2.53E+05	5.53E+06	5.11E+07	8.85E+06	-2.00E+05	6.75E+06	-1.55E+05	1.60E+07	9.54E+06
D	42	G130	AMP	-3.45E+05	9.15E+06	2.72E+07	1.57E+07	-7.51E+04	-1.77E+05	8.19E+06	5.57E+06	2.57E+07	6.13E+06	3.90E+07	1.58E+05
E	42	EMPTY	NONE	-1.29E+05	-4.49E+04	7.05E+04	8.80E+04	-1.86E+05	1.80E+05	-1.46E+05	-6.22E+04	-1.31E+05	3.73E+05	-2.55E+04	4.01E+05
F	42	G090	STANDARD	1.13E+05	-3.21E+04	-1.85E+04	-1.46E+05	-1.69E+04	1.44E+05	9.99E+04	-2.01E+05	-3.87E+04	-2.61E+05	-1.67E+05	-1.17E+05
G	42	G090	STANDARD	-4.07E+04	-3.68E+04	-1.11E+05	-1.45E+05	1.93E+05	-5.12E+04	-2.62E+05	5.24E+04	-2.27E+05	1.57E+05	-1.81E+05	-3.61E+05
H	42	G090	STANDARD	-1.80E+05	1.68E+05	-1.67E+05	1.22E+04	2.55E+05	-5.56E+03	7.25E+04	-1.95E+05	-4.15E+04	1.64E+05	5.27E+04	3.63E+04
A	48	G130	STANDARD	1.33E+04	2.64E+04	1.52E+06	7.92E+06	4.54E+04	2.20E+06	3.32E+06	1.29E+06	8.25E+05	1.19E+07	6.99E+05	7.15E+03
B	48	G130	STANDARD	2.48E+06	6.03E+05	2.54E+06	5.49E+04	8.12E+05	3.03E+07	1.05E+05	3.22E+04	3.16E+04	2.62E+04	4.68E+04	2.45E+04
C	48	G130	STANDARD	3.68E+04	6.51E+04	7.82E+04	8.79E+04	4.51E+06	1.19E+07	1.81E+07	4.93E+04	7.60E+05	4.52E+04	1.46E+07	9.97E+05
D	48	G130	STANDARD	9.66E+04	1.30E+07	5.48E+07	2.35E+07	8.36E+04	5.94E+04	7.05E+04	1.45E+07	1.13E+07	2.20E+06	6.32E+06	5.38E+04
E	48	EMPTY	NONE	3.08E+04	8.09E+04	1.18E+05	6.13E+04	3.18E+04	2.58E+04	3.45E+04	4.09E+04	4.60E+04	2.63E+04	2.36E+04	1.18E+04
F	48	EMPTY	NONE	1.31E+04	3.00E+04	4.43E+04	1.35E+04	1.63E+04	1.24E+04	1.52E+04	2.36E+04	1.04E+04	1.12E+04	6.89E+03	3.26E+03
G	48	EMPTY	NONE	3.92E+03	1.53E+04	1.98E+04	1.27E+04	4.46E+03	8.17E+01	4.79E+03	4.60E+03	1.10E+04	1.04E+04	9.87E+03	6.94E+03
H	48	EMPTY	NONE	6.28E+03	2.38E+03	1.10E+04	1.09E+04	1.23E+03	3.92E+03	4.90E+03	-2.14E+03	6.34E+03	1.17E+04	7.91E+03	1.10E+04
A	48	G130	AMP	4.40E+04	1.71E+06	3.33E+07	7.49E+05	9.02E+04	6.97E+06	2.98E+07	1.58E+07	1.21E+07	1.36E+07	1.36E+05	9.89E+05
B	48	G130	AMP	1.20E+07	1.13E+07	3.07E+06	1.12E+05	2.21E+07	2.02E+07	1.89E+05	2.18E+07	8.73E+04	5.16E+04	5.55E+04	2.49E+07
C	48	G130	AMP	4.36E+04	4.63E+04	9.30E+05	1.51E+05	3.51E+07	1.09E+05	6.37E+06	9.20E+04	4.05E+06	2.59E+06	5.80E+05	4.04E+04
D	48	G130	AMP	1.84E+05	1.55E+06	9.66E+05	2.69E+07	7.77E+04	6.75E+04	1.66E+07	1.23E+07	1.40E+05	8.59E+06	6.35E+04	1.59E+04
E	48	EMPTY	NONE	1.62E+04	3.33E+04	4.68E+04	7.20E+04	3.22E+04	3.78E+04	5.41E+04	4.26E+04	3.52E+04	2.92E+04	1.88E+04	1.51E+04
F	48	G090	STANDARD	1.92E+04	2.31E+04	2.44E+04	2.52E+04	2.22E+04	2.51E+04	2.91E+04	2.63E+04	2.51E+04	1.52E+04	1.47E+04	1.32E+04
